,C3L-00625-03,C3L-01053-01,C3L-01971-02,C3L-03743-01,C3N-00303-01,C3N-00516-02,C3N-01385-02,C3N-02579-02,C3N-02590-01,C3N-02696-02-2,C3N-03061-01,C3N-03853-02,C3L-02606-02,C3L-03639-03,C3N-02696-02,C3N-03000-02,C3N-04284-01
ENSG00000009954.11,5471,4741,5491,7004,6412,6696,5811,10176,1508,6582,7543,4234,4193,7693,7927,5132,4034
ENSG00000010017.13,1890,1673,1547,1887,1780,1899,1594,2733,636,2134,2095,1094,1825,2102,2381,2218,1424
ENSG00000010030.14,163,243,193,194,184,177,376,305,58,239,528,199,206,401,315,120,68
ENSG00000010072.16,596,584,512,821,642,757,562,1538,204,623,902,523,481,744,796,692,409
ENSG00000010165.20,936,1161,938,1115,1129,1441,1352,2416,494,1326,1384,821,849,1604,1333,1159,739
ENSG00000010219.13,396,515,759,535,777,492,1054,722,141,848,773,403,385,513,924,421,581
ENSG00000010244.19,8756,9726,9437,15613,9687,10064,9038,20390,2187,10884,13818,9721,9006,9257,11529,11576,7240
ENSG00000010256.11,2626,3832,3605,2047,1921,3796,3583,3644,1422,2642,2886,1621,2894,3674,3939,2572,2351
ENSG00000010270.14,996,987,1302,1658,1154,1514,1339,2697,377,1214,1653,968,1332,2067,1635,1460,821
ENSG00000010278.15,4227,4170,6801,9764,2285,4250,6391,5957,2006,4321,8472,4007,13468,7428,7702,9092,2483
ENSG00000010282.15,2,6,16,2,2,2,22,1,0,13,3,0,1,0,12,1,13
ENSG00000010292.13,1717,1404,1693,3219,2377,2408,2360,2493,898,2088,4788,2629,1937,4574,2169,3036,1564
ENSG00000010295.20,722,901,613,642,1321,755,944,830,433,1021,797,395,610,393,1183,854,396
ENSG00000010310.9,279,412,530,473,211,383,336,639,80,518,206,192,305,297,402,75,277
ENSG00000010318.21,155,220,159,120,323,178,183,141,79,334,122,85,116,267,270,122,170
ENSG00000010319.7,151,429,386,230,653,165,228,149,72,332,200,67,214,64,396,62,153
ENSG00000010322.16,4909,6207,5516,4017,4717,3996,5108,4223,2012,6125,3461,2503,4001,2611,6136,3355,2846
ENSG00000010327.10,4788,7484,3736,4565,9548,5739,6383,3932,2133,7379,7316,2795,6912,3692,10186,5074,4652
ENSG00000010361.14,240,339,205,273,222,296,277,460,108,357,239,246,274,210,340,229,178
ENSG00000010379.16,16,6,9,20,14,6,9,9,6,12,3,9,41,12,10,25,4
ENSG00000010404.18,694,763,620,794,1107,727,779,947,324,803,677,568,799,1023,1279,709,446
ENSG00000010438.17,690,38719,2811,879,60,247,7557,1441,33,6790,2186,201,51,1139,4214,118,12549
ENSG00000010539.12,300,390,466,814,682,398,473,902,203,448,632,330,374,341,579,738,342
ENSG00000010610.10,1569,2251,2137,1426,3207,2089,2671,1328,402,3422,1826,924,1517,1481,3361,1163,706
ENSG00000010626.15,222,268,252,426,290,332,340,312,88,250,499,275,305,405,268,404,150
ENSG00000010671.16,345,662,622,411,2876,576,1149,513,78,949,664,372,536,397,990,381,335
ENSG00000010704.18,717,662,563,844,485,720,853,1003,288,871,960,833,707,648,885,674,501
ENSG00000010803.16,1340,1981,1465,1181,1464,1630,1949,2152,807,2580,1636,2115,1373,1823,2365,1396,1749
ENSG00000010810.17,1948,2992,3383,2532,7176,2676,2481,2782,739,2700,3473,1594,3710,2229,3105,3008,916
ENSG00000010818.10,3780,4568,4704,4988,5789,5458,4652,6650,1687,5783,5645,4802,6140,10563,6433,6680,2537
ENSG00000010932.17,768,500,393,341,210,593,559,778,107,927,430,176,172,192,888,1435,155
ENSG00000011007.12,1400,2510,2233,2697,2041,1973,2178,2747,566,2505,2028,1865,2392,3202,2671,1947,2617
ENSG00000011009.11,913,1615,1086,1905,1093,1642,1377,1966,452,967,1294,1106,1480,3041,1734,909,658
ENSG00000011021.23,900,985,758,896,1679,829,1078,1125,572,1880,806,846,1092,1174,1477,948,744
ENSG00000011028.14,4760,4615,3136,5186,4338,4708,3994,7692,5363,7287,5959,2269,7539,1593,9046,7995,1193
ENSG00000011052.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000011083.9,21,19,45,44,21,28,14,38,8,17,15,8,21,1,22,19,31
ENSG00000011105.14,2206,3069,1967,2495,1223,3444,2216,3130,1251,2918,2700,1637,2670,568,3265,2371,867
ENSG00000011114.15,2821,2674,2510,2719,2586,2603,2740,4880,953,4252,2342,2070,2248,3623,4477,3605,2736
ENSG00000011132.12,446,563,445,352,583,444,466,712,244,358,442,316,589,471,582,307,274
ENSG00000011143.19,326,433,364,426,437,318,523,759,262,707,521,440,423,399,574,483,321
ENSG00000011198.10,1168,1408,1342,959,1190,1312,1495,2518,356,1275,1524,1089,1602,2623,1654,1270,1040
ENSG00000011201.12,612,607,709,1326,652,1107,1137,1736,582,1054,1877,507,1387,854,1724,1915,207
ENSG00000011243.18,1332,1515,1161,815,1409,1037,1245,1322,600,1978,1122,981,919,1101,1691,914,739
ENSG00000011258.16,1296,1445,1393,1957,2127,1596,1704,2731,538,2972,2195,1468,1285,1500,2824,2219,1634
ENSG00000011260.14,794,1195,1338,1298,1405,1181,1468,2003,408,1079,1684,1102,1458,1484,1550,1413,970
ENSG00000011275.19,2656,3004,2583,2863,4400,3417,2924,4936,1162,3662,3998,2367,3104,3110,3876,3365,2367
ENSG00000011295.16,1368,2066,2137,1995,2557,2142,2111,2487,548,3057,2199,1507,1662,1636,3282,1538,1984
ENSG00000011304.22,5135,4464,4851,4211,5022,4397,4426,6866,2188,4666,4233,3191,4754,5213,6294,3652,3190
ENSG00000011332.19,3,14,15,25,17,11,13,16,9,33,9,5,7,26,28,4,10
ENSG00000011347.10,460,879,1743,531,114,308,601,301,133,1482,201,284,408,106,1441,530,736
ENSG00000011376.12,1276,1242,1532,854,1432,1449,1433,1776,551,1428,1476,1246,1127,1344,1459,1195,953
ENSG00000011405.13,5502,5444,6500,9455,5794,5045,6506,10039,1407,7579,8200,4192,5421,6794,8392,7870,5402
ENSG00000011422.12,2570,2376,2288,5945,1692,4398,4317,7726,1010,1208,4220,2037,7971,6642,2072,3398,376
ENSG00000011426.11,1287,477,1025,2039,787,3751,1523,4503,397,435,3549,1867,1732,13632,2031,1770,754
ENSG00000011451.21,951,743,564,562,1093,744,559,943,677,1098,710,613,606,519,1481,858,607
ENSG00000011454.18,3041,3750,3089,2922,4732,3919,3960,4755,1656,5209,4032,2048,3146,3058,5655,4866,2984
ENSG00000011465.18,43728,42487,48206,53402,21003,43799,32831,62423,11758,35793,63652,27048,48113,6622,48584,94760,14243
ENSG00000011478.13,143,275,133,207,162,195,183,287,103,147,242,150,381,282,164,216,167
ENSG00000011485.15,1689,1592,1598,2194,1256,1660,1244,2312,569,1612,1651,1016,1379,1151,1895,1526,885
ENSG00000011523.14,1411,2142,1687,1767,2384,1541,1884,2181,485,3715,1489,1496,1720,924,3646,1961,1697
ENSG00000011566.15,3209,2478,3211,4309,1911,2736,3061,5277,560,3366,3325,1946,2204,3194,4601,3469,2481
ENSG00000011590.14,78,62,78,54,206,82,77,91,30,134,64,79,57,59,145,74,53
ENSG00000011600.12,909,1817,1268,872,1106,1424,3097,1196,253,1540,1371,638,996,921,2083,892,443
ENSG00000011638.11,1083,1136,1278,1585,819,1657,1238,2938,368,927,1998,880,1319,1361,1179,1463,583
ENSG00000011677.13,1,5,3,98,3,6,2,5,2,4,4,5,199,7,25,111,35
ENSG00000012048.23,754,481,706,1011,799,1336,974,1684,358,728,1441,933,635,1757,1135,884,530
ENSG00000012061.16,1070,1340,1121,1471,1272,1391,1309,1785,443,1066,1277,972,2216,1576,1368,1758,686
ENSG00000012124.17,110,127,302,243,3673,271,714,123,42,241,127,101,198,265,245,77,34
ENSG00000012171.20,1997,2798,1402,850,1399,1510,845,2049,1471,837,1147,206,963,1317,1444,849,879
ENSG00000012174.12,714,591,626,836,796,604,773,1148,277,1455,1227,665,737,846,1412,1055,1015
ENSG00000012211.13,243,251,246,166,206,191,242,289,152,206,238,161,464,252,250,168,124
ENSG00000012223.13,2576,2079,1542,59,1019,1085,1295,483,21,892,7589,158,1375,994,1168,11,1117
ENSG00000012232.9,1359,2106,1751,1939,1737,2495,2246,3527,816,2696,1704,1303,2489,2023,2764,1577,1891
ENSG00000012504.15,237,478,250,57,4,71,381,207,2,658,186,180,66,150,599,24,279
ENSG00000012660.14,2353,3123,3450,4252,4228,3971,3464,5697,750,3120,5701,3073,5068,6263,4066,3457,1402
ENSG00000012779.11,2528,2682,2392,2001,5738,3801,3297,5606,488,3235,2925,1019,1659,1809,3681,1506,1596
ENSG00000012817.16,4,3,4336,0,5970,2076,5743,0,0,6131,0,0,0,1288,5620,3663,2
ENSG00000012822.16,4067,4183,3381,4155,4996,3408,3753,5158,1548,6043,3460,2000,3401,2579,5483,3380,2760
ENSG00000012963.15,964,1015,1262,939,1036,978,1057,1724,335,1118,1187,937,925,992,1221,947,834
ENSG00000012983.11,3709,2892,3506,4396,3016,6320,4027,6373,871,3847,5321,4115,3419,4432,5154,5552,2043
ENSG00000013016.16,653,838,665,571,1446,1024,765,1210,458,936,956,434,806,183,1076,1024,302
ENSG00000013275.8,1800,1996,2032,3529,1598,4457,2447,3908,932,1708,3636,2047,4098,5124,2226,2280,1219
ENSG00000013288.9,2028,2559,2193,3174,2352,2882,2853,3000,1214,3083,2345,2154,2380,2316,3198,1940,1646
ENSG00000013293.6,90,149,395,293,96,106,342,61,4,224,47,143,39,14,279,35,201
ENSG00000013297.12,569,354,320,753,305,413,302,436,13,358,132,308,387,63,353,261,54
ENSG00000013306.16,1806,2280,2242,2074,1572,1943,2365,3227,1215,1806,2323,1639,2506,3015,2706,1665,1507
ENSG00000013364.19,9193,9545,9477,10133,6569,9939,8416,16207,3778,5827,12550,8524,7021,11293,9263,5800,3421
ENSG00000013374.16,2287,2600,2718,2622,2947,3621,3101,3003,487,2562,4914,1889,2100,5830,3553,1991,1720
ENSG00000013375.16,1805,2550,2576,3892,1716,2573,3579,4861,670,3722,3829,2649,2600,3734,4097,3377,5891
ENSG00000013392.8,215,294,279,391,316,252,491,434,86,710,327,389,212,240,602,342,570
ENSG00000013441.16,7089,6101,6474,7514,9298,6515,8222,11328,1513,7985,7361,5477,8361,7075,7667,8259,5754
ENSG00000013503.10,889,622,790,755,944,633,1042,1220,170,1126,739,369,638,687,1158,725,996
ENSG00000013523.11,897,1703,1226,824,1317,680,2120,1410,423,3056,1216,1090,1137,1001,2435,900,2346
ENSG00000013561.18,1629,2029,1851,2557,1547,1819,2326,3874,411,2288,2717,1793,1614,2386,2840,1973,1497
ENSG00000013563.14,296,454,364,408,346,365,412,648,135,236,386,227,470,557,435,219,180
ENSG00000013573.17,1217,771,955,999,1453,1227,1287,470,498,1037,796,514,980,994,982,656,1183
ENSG00000013583.10,506,445,528,828,407,599,620,513,209,1114,611,537,504,660,1049,709,548
ENSG00000013588.9,25915,5095,9693,34910,6535,11348,6399,16165,9744,1855,13333,10688,9811,11919,7537,14598,999
ENSG00000013619.14,204,267,155,158,276,140,183,147,38,569,120,70,262,180,438,121,184
ENSG00000013725.14,213,400,361,171,2342,305,418,124,83,405,190,143,145,116,447,66,98
ENSG00000013810.20,683,714,699,900,1700,962,906,1048,364,655,861,511,600,1997,849,424,396
ENSG00000014123.10,1568,2171,2229,2961,1994,2580,2825,3842,413,3281,2843,2209,1608,2888,4369,2505,2949
ENSG00000014138.9,141,146,171,129,204,122,142,182,58,221,142,130,122,178,201,89,104
ENSG00000014164.7,498,348,412,347,768,379,381,393,334,662,304,239,537,499,811,495,245
ENSG00000014216.16,4002,5500,5163,8227,3478,6066,5213,7959,2290,4233,5189,3748,7181,7373,4736,4018,1538
ENSG00000014257.16,358,257,484,149,85,158,365,165,112,332,305,184,99,178,357,132,365
ENSG00000014641.21,2238,2805,2794,4353,2570,3406,4064,5658,783,3191,3940,2563,3550,3477,4495,3675,2179
ENSG00000014824.14,3502,3484,3631,5673,2650,3746,3163,7046,867,4098,5839,3655,2169,5691,5827,3622,3234
ENSG00000014914.21,5101,1586,1697,1879,1044,3597,1105,9441,1962,1313,2588,2043,1139,2330,1916,1230,612
ENSG00000014919.13,1158,1159,992,1524,1160,1352,1233,2019,364,1660,1318,807,850,1105,1620,1221,1396
ENSG00000015133.19,868,1127,1895,831,4918,1024,1505,1207,596,1625,901,1005,1658,1865,2128,642,1023
ENSG00000015153.15,745,1273,1684,1605,1430,1175,1095,2070,232,1641,1712,1268,900,1162,1751,1086,1045
ENSG00000015171.20,4287,3996,4886,3852,3650,5115,4609,6441,833,5561,4320,2705,2513,4571,7232,3908,4086
ENSG00000015285.11,187,304,260,161,971,230,429,187,104,669,272,132,208,187,539,213,112
ENSG00000015413.9,837,4836,866,1580,163,309,2784,665,14,4280,673,553,598,169,3785,171,5093
ENSG00000015475.19,741,916,993,859,1075,1734,1233,2542,258,728,1359,766,638,1513,1279,923,390
ENSG00000015479.20,1322,1210,1453,1462,1409,1283,1060,1771,319,2383,1354,1460,1366,1213,1781,1282,1363
ENSG00000015520.15,395,272,187,154,25,122,257,349,472,267,292,286,120,6,418,42,98
ENSG00000015532.10,1097,1468,1345,1114,1431,1329,1514,1800,786,1313,1493,1027,1625,787,1591,1196,753
ENSG00000015568.13,11,3,6,8,13,8,16,7,1,17,5,2,14,12,21,6,4
ENSG00000015592.16,0,5,4,3,5,0,6,2,0,9,0,3,0,0,5,1,0
ENSG00000015676.18,3229,3909,3475,3483,3994,4244,3818,6987,1278,3731,4462,2746,3485,5262,4234,3525,2234
ENSG00000016082.15,111,115,699,375,81,224,396,139,25,320,161,191,66,191,424,247,397
ENSG00000016391.11,849,1998,1821,326,510,576,2044,1668,648,2632,868,551,391,535,2462,516,2060
ENSG00000016402.13,680,645,683,301,114,535,712,1056,307,895,814,787,492,967,1077,1005,691
ENSG00000016490.16,4122,2,120,1010,3,52,3,71,11,2,3,2358,5,3,3,3,12429
ENSG00000016602.9,2,4,4,21,7,10,2,343,0,7,15,2,810,58,14,109,3
ENSG00000016864.18,1683,1956,2265,1860,1712,2587,2152,3150,742,2255,2476,1341,1642,2066,2562,2553,1639
ENSG00000017260.20,5194,4508,6066,10379,4829,6704,8153,10035,1422,6942,8110,6628,6857,7028,9034,7255,3552
ENSG00000017427.17,63,446,265,141,432,198,149,167,42,417,303,44,347,18,633,124,237
ENSG00000017483.15,643,2159,397,307,347,1473,1494,930,237,1472,2788,802,3020,253,935,1105,3610
ENSG00000017797.13,3462,3248,2404,4838,2719,3525,3189,5887,1846,2515,10365,3744,2850,5384,4930,3767,1534
ENSG00000018189.13,4292,3887,3757,5116,4574,3550,4365,6284,1146,6213,4799,2711,2549,3181,6223,4772,3080
ENSG00000018236.15,2422,2476,2336,2790,429,2692,3667,4325,2998,2926,2645,1788,1093,221,3714,3886,1095
ENSG00000018280.17,2265,2983,1115,1069,4548,1634,2413,2823,656,2825,2240,955,3530,1805,2765,1938,392
ENSG00000018408.15,3891,3718,3766,6005,2776,4004,3579,6058,1123,6040,4144,3388,2295,4022,6894,4591,2063
ENSG00000018510.17,2857,2950,3521,5943,2546,4082,4526,5973,833,3926,4876,3478,3422,4856,6048,5658,3523
ENSG00000018607.7,5,2,5,3,4,3,3,7,0,4,4,2,1,1,3,6,2
ENSG00000018610.15,722,684,789,1077,714,707,854,1626,214,861,970,635,810,1457,961,859,524
ENSG00000018625.15,17,124,148,45,560,25,36,29,26,87,16,21,18,5,75,5,48
ENSG00000018699.13,906,877,769,584,1185,926,1198,1869,233,1267,1060,677,680,856,1287,1070,753
ENSG00000018869.17,116,115,129,114,142,97,141,142,32,187,76,35,86,25,207,96,62
ENSG00000019102.12,1790,1677,1883,3388,271,1612,959,1814,345,221,1539,725,407,163,1156,151,137
ENSG00000019144.19,5879,7501,5359,9127,7814,8523,5156,5799,2948,12753,5364,4004,4950,3003,11511,5165,2348
ENSG00000019169.10,2236,507,523,211,1493,142,604,1366,107,151,426,140,254,761,397,700,171
ENSG00000019186.10,20,5,30,42,20,159,6,87,2,11,74,150,4171,142,90,3887,3
ENSG00000019485.13,438,726,592,596,958,442,503,494,233,1104,499,247,574,153,960,656,596
ENSG00000019505.8,1038,2133,3016,1749,412,1218,1187,4513,245,1119,2112,1565,296,1203,1165,651,2353
ENSG00000019549.13,842,1412,1132,1851,720,2414,621,2669,349,1115,2173,1619,2421,2970,1261,2381,223
ENSG00000019582.15,22081,60487,42207,22535,61226,41809,57636,27363,8007,61288,50228,32190,30671,38971,60325,22216,12606
ENSG00000019991.18,1299,1230,1300,1847,743,786,1916,832,110,2377,754,706,662,728,2554,1015,795
ENSG00000019995.6,1082,1150,1008,1373,1309,1290,1193,1957,339,1518,1098,953,971,931,1781,1431,838
ENSG00000020129.16,602,672,717,763,644,706,630,853,351,837,461,388,673,691,1039,561,408
ENSG00000020181.18,2461,2857,2008,2454,2349,1700,1823,2318,831,3651,1423,990,1916,689,5551,1423,680
ENSG00000020219.9,0,5,1,0,0,1,5,3,3,15,1,2,0,1,12,1,11
ENSG00000020256.20,967,642,672,724,632,796,708,1447,342,801,868,652,727,422,841,783,573
ENSG00000020426.11,1018,485,739,665,898,787,976,1281,183,717,713,774,820,1455,958,1050,540
ENSG00000020577.14,2381,2028,2147,2631,2963,1986,3005,5656,1022,1829,3072,1259,4018,5941,2750,3444,787
ENSG00000020633.19,225,320,403,131,1397,338,316,249,94,547,370,228,349,157,592,252,111
ENSG00000020922.13,1806,1537,1470,2305,2371,1860,2084,3174,417,2559,2553,2162,1536,1186,2749,2495,1482
ENSG00000021300.14,458,797,723,267,218,133,651,657,152,631,657,515,123,236,597,155,513
ENSG00000021355.13,7132,6518,5154,7695,2919,6481,3834,21238,3892,4519,4448,2791,2930,13835,4965,3093,6127
ENSG00000021461.17,9,27,27,18,13,8,10,25,0,22,6,4,8,20,8,8,21
ENSG00000021488.13,51,30,25,71,12,10,14,20,32,15,18,53,33,16,31,30,23
ENSG00000021574.13,1134,1302,1210,1435,1138,1517,1453,2512,334,1657,1549,978,1077,1259,2146,1666,1099
ENSG00000021645.20,518,344,220,301,293,226,222,250,412,530,196,180,207,101,389,153,281
ENSG00000021762.20,1051,1658,1103,1380,1039,1587,1248,1701,915,1294,1472,492,1573,1383,1720,1555,632
ENSG00000021776.11,3985,3350,3764,4614,4925,4569,4132,7681,1235,4868,5654,2888,2787,2845,5488,4714,3314
ENSG00000021826.17,281,242,2445,774,255,451,319,450,63,701,409,437,247,138,3369,391,4594
ENSG00000021852.13,50,9,3,17,7,3,18,56,0,11,70,119,17,83,17,6,9
ENSG00000022267.19,1063,1370,1747,989,3195,984,1059,1463,666,1377,1034,526,685,439,1455,1291,942
ENSG00000022277.13,1906,1853,1588,3024,1604,2108,2179,5128,556,1795,2934,1645,1897,2767,2772,2591,1384
ENSG00000022355.18,1,3,8,2,0,1,2,1,0,5,1,0,0,0,6,1,3
ENSG00000022556.16,1416,1135,133,2668,425,379,105,3785,952,279,2219,52,91,562,199,42,185
ENSG00000022567.10,1413,1825,958,2275,1042,2087,1941,2401,1064,1912,1342,1116,2409,1326,2104,1802,1292
ENSG00000022840.16,2677,2109,2540,3429,3432,2384,2727,3967,1272,5151,2330,1514,3081,3659,4985,2595,2699
ENSG00000022976.15,412,367,286,196,507,292,410,514,128,491,283,272,202,537,434,232,344
ENSG00000023041.11,1559,1399,1380,1944,2292,2247,1901,3731,476,1768,1960,1323,1159,2207,2047,2170,1000
ENSG00000023171.18,926,1644,714,773,1394,1139,1860,739,457,1397,2603,1261,616,425,1503,592,448
ENSG00000023191.17,3191,4270,3547,3607,3055,3888,4106,4401,1380,2624,3740,1697,4980,3724,4311,2387,1912
ENSG00000023228.14,3939,4827,4181,5742,3715,5056,5562,9077,1612,5547,5350,4844,4213,5914,6917,5355,4160
ENSG00000023287.13,5145,3757,3515,6115,4913,5867,4647,8568,1071,5844,4542,4269,4482,6664,10201,6309,4486
ENSG00000023318.8,1733,2335,2189,2634,2183,2299,3053,4551,698,3469,2872,1356,1668,2980,3665,2259,3266
ENSG00000023330.15,1502,1418,1615,1224,1189,1462,1857,2641,814,1149,1643,745,1357,1472,1425,1044,773
ENSG00000023445.16,2213,6253,6024,10657,9332,5035,10229,19080,1026,3792,20496,14714,8301,23326,6623,2131,1384
ENSG00000023516.9,6183,4176,4642,7310,7585,6142,5600,9640,1463,8349,8091,4466,5665,7014,9212,8061,3963
ENSG00000023572.10,528,605,617,686,487,875,585,1596,128,680,940,447,316,900,820,644,610
ENSG00000023608.5,381,170,261,307,255,222,351,636,47,267,434,335,593,787,273,388,148
ENSG00000023697.13,1097,1021,1177,3003,1106,1324,1377,1577,266,1406,2293,1149,1051,2607,1916,2401,892
ENSG00000023734.11,1828,2093,2769,5183,1744,2536,2442,3782,736,2515,3622,2061,2670,4096,3204,3785,1892
ENSG00000023839.12,108,137,111,201,261,92,82,140,26,162,103,55,66,136,125,105,252
ENSG00000023892.11,590,970,817,282,2667,936,1033,606,197,893,871,377,579,533,1112,349,517
ENSG00000023902.14,899,1312,1213,1211,2997,1536,1882,1954,722,1681,1820,688,1285,935,2025,1439,605
ENSG00000023909.10,586,771,905,1271,459,1484,714,1320,99,1137,867,1556,1005,1540,1114,878,598
ENSG00000024048.11,5439,5863,4834,6484,6518,4844,5727,8504,1746,8858,7845,4992,4716,6736,14931,5704,5612
ENSG00000024422.12,1449,929,933,1175,1957,1133,514,1107,1699,1510,969,525,2728,693,2557,2516,535
ENSG00000024526.17,116,90,150,341,139,319,200,606,66,54,396,305,206,1343,282,195,123
ENSG00000024862.18,441,605,544,754,525,585,751,745,83,794,659,652,574,572,934,538,444
ENSG00000025039.15,789,1217,1132,934,487,660,1975,1196,121,1384,898,731,1028,748,1704,1303,1282
ENSG00000025156.13,358,506,481,664,562,522,528,717,108,664,568,685,581,741,837,528,475
ENSG00000025293.17,2422,2439,2613,3010,3098,3095,2189,5112,744,3144,2902,1829,3222,3251,3608,3613,1586
ENSG00000025423.11,258,103,119,173,102,263,189,511,85,64,457,125,319,57,128,633,17
ENSG00000025434.19,837,1038,695,1494,849,889,1549,1169,378,802,1019,509,620,468,1031,682,480
ENSG00000025708.14,1408,2405,1829,1379,2550,2357,4128,3705,712,1647,5704,2230,4572,7183,2677,1799,598
ENSG00000025770.19,723,1187,982,819,1107,1337,1033,2143,439,886,1025,1041,1094,1548,1278,1096,680
ENSG00000025772.8,710,791,1301,1599,790,956,975,2136,286,764,1074,577,1089,1596,1218,811,480
ENSG00000025796.14,2500,2699,2678,3853,2538,2728,3493,3402,798,7265,3201,2753,2514,3122,6954,4141,6059
ENSG00000025800.14,3103,3769,3775,4532,3678,4345,4410,5374,1153,4939,3971,2260,4263,5433,5556,3926,3265
ENSG00000026025.16,13828,10675,11114,13198,15821,21372,12280,24832,4917,14798,15816,8799,10138,9999,19604,24496,6215
ENSG00000026036.22,231,159,86,135,349,170,118,254,140,278,140,81,261,373,354,206,97
ENSG00000026103.22,900,1051,973,1284,1876,1441,1164,2089,362,1307,1799,677,1478,1191,1489,1381,530
ENSG00000026297.16,1718,2653,1943,1784,3237,1788,1939,2102,586,2454,1859,1497,944,1258,2324,1497,1056
ENSG00000026508.20,11079,9089,15905,9918,17745,25332,12991,15743,2922,21034,15274,7749,12545,11810,19160,14367,13674
ENSG00000026559.14,21,80,118,23,69,34,31,42,7,57,29,23,92,25,67,25,44
ENSG00000026652.15,1103,1659,1352,1799,1964,1937,1798,2590,928,1850,1778,1085,2423,1719,1665,2545,698
ENSG00000026751.17,155,621,534,222,1584,657,780,517,43,799,1003,244,216,593,727,109,132
ENSG00000026950.17,1835,4076,2295,2841,5532,3064,3347,2842,788,3137,5695,3439,2294,5356,2546,2249,1591
ENSG00000027001.10,803,780,505,853,655,781,722,1454,291,793,1076,503,593,1040,956,851,519
ENSG00000027075.15,1274,2396,2515,1170,4621,1538,2284,1768,281,2064,1645,935,1958,2003,2190,1074,865
ENSG00000027644.5,18,51,38,18,28,7,43,30,73,90,22,12,34,8,75,22,18
ENSG00000027697.15,2901,6072,4918,8173,4220,4683,6222,10423,809,5159,6490,4306,6602,6020,7273,5213,2341
ENSG00000027847.14,656,890,821,701,700,794,782,1274,419,826,814,795,738,590,1047,705,591
ENSG00000027869.12,101,175,146,96,397,177,143,104,49,183,146,80,100,180,192,64,36
ENSG00000028116.18,664,946,896,2486,1199,759,1213,1478,206,1144,1751,747,693,1436,1462,1079,784
ENSG00000028137.19,1187,2690,2442,1825,2863,1725,2941,1466,487,3152,1926,1118,2283,1948,4003,1015,803
ENSG00000028203.18,4826,3308,4768,7951,4081,5404,4788,9511,1572,5067,5183,3176,4549,4858,6584,5986,2813
ENSG00000028277.21,122,173,117,151,1516,246,251,137,65,678,180,99,149,234,648,125,198
ENSG00000028310.18,1616,1204,1337,2251,2128,1285,1390,2965,742,1674,1620,1095,2658,1547,1984,1862,960
ENSG00000028528.15,4330,3915,3617,4118,5197,5082,4825,6267,1656,6529,4101,3047,4126,2147,5941,4524,3142
ENSG00000028839.10,240,302,435,667,371,438,450,660,57,438,480,544,344,519,666,520,291
ENSG00000029153.14,1899,1167,2373,5742,1784,4184,2607,4329,511,989,6021,2113,3580,11700,3367,4172,731
ENSG00000029363.17,5514,5893,5987,9165,7175,7412,7828,11146,1387,9299,8033,7046,5692,7466,11237,8839,6410
ENSG00000029364.12,4811,4337,4146,5939,3272,4316,4501,9290,1534,5023,5369,4243,4206,6482,6738,4375,4853
ENSG00000029534.21,78,124,146,69,450,428,135,419,372,106,64,72,78,224,70,55,25
ENSG00000029559.7,18,42,61,138,63,232,42,159,2,12,36,13,16,144,78,79,8
ENSG00000029639.11,468,435,468,659,644,598,627,695,137,662,621,516,498,841,768,655,442
ENSG00000029725.17,1922,2256,2661,2452,4184,2261,3029,3262,1162,3578,2511,2031,1725,2174,4116,2022,2054
ENSG00000029993.15,722,551,791,803,332,818,693,1586,220,677,940,580,1172,6789,940,595,590
ENSG00000030066.13,2828,2673,2895,3519,3870,2960,3062,4494,1186,3972,3942,2015,2992,1522,4389,4254,2512
ENSG00000030110.13,586,841,704,657,444,666,627,1433,258,459,1294,356,1408,1050,658,419,320
ENSG00000030304.14,106,213,244,142,631,92,139,73,19,273,63,62,109,228,201,76,146
ENSG00000030419.16,2176,1122,1661,1016,2833,2855,1627,4127,188,1924,3119,1939,2355,2671,2105,1925,978
ENSG00000030582.18,7411,14354,8681,8768,7992,8372,22487,13218,4519,8817,11395,6041,16169,9952,10808,7958,3595
