,C3L-00928-03,C3L-01032-01,C3L-01598-02,C3L-01971-02,C3L-04853-01,C3N-00302-02,C3N-01167-01,C3N-02696-02-2,C3N-03000-02,C3N-03853-02,C3N-04282-01,C3L-02606-02,C3L-03639-03,C3L-03743-01,C3N-02696-02,C3N-04284-01
ENSG00000002834.18,3757,5773,4398,4046,5696,6341,7794,6229,5562,3463,7096,4348,6566,7812,8608,3034
ENSG00000002919.15,542,497,665,528,636,627,735,842,777,494,862,601,599,795,1047,422
ENSG00000002933.9,1276,1729,2567,3245,2202,1062,5940,1341,1128,878,696,2458,632,910,2102,863
ENSG00000003056.8,2997,2023,3290,2872,2686,2793,3823,3153,3861,2511,4041,3165,4004,4204,4292,1747
ENSG00000003096.14,108,162,106,285,201,234,336,532,91,168,183,224,41,210,606,383
ENSG00000003137.8,23,97,24,38,26,147,70,67,43,28,52,93,32,133,60,37
ENSG00000003147.19,1473,1350,2059,1891,2547,922,5732,2156,1190,1534,1625,865,3419,2550,2506,3602
ENSG00000003249.15,220,338,175,250,328,118,613,231,156,85,160,98,216,92,398,178
ENSG00000003393.15,2356,1604,2528,2297,3029,2363,4720,2896,3464,2215,2572,2065,2706,3310,3252,1531
ENSG00000003400.15,1742,962,3335,1490,2431,1210,5529,2233,1378,1934,959,2108,1363,1431,2096,891
ENSG00000003402.20,9268,9419,9300,7542,13811,7373,12059,15143,7533,6366,7826,10391,8773,9133,12425,5904
ENSG00000003436.16,2741,2456,5689,5149,4169,3792,6128,4439,3483,7202,8303,2355,10454,11681,5667,1779
ENSG00000003509.16,725,520,764,658,1046,797,1193,1098,1043,638,889,653,683,893,1090,645
ENSG00000003756.17,3636,3100,3662,5210,4353,4206,5790,6893,5598,2630,5858,4073,4714,3586,6125,4208
ENSG00000003987.14,162,63,264,435,194,195,247,486,168,179,149,151,321,325,480,371
ENSG00000003989.18,1959,1834,2956,4980,3686,1495,2016,7734,1538,1404,643,3986,7620,2704,8150,10365
ENSG00000004059.11,1105,1090,1771,1538,1407,933,3901,1220,1115,923,1630,1251,1937,932,2202,917
ENSG00000004139.14,202,412,262,383,307,418,476,656,297,243,244,196,89,301,660,738
ENSG00000004142.12,1296,1685,1858,1540,1980,1620,2747,2031,1552,1314,1594,1577,2253,1832,2633,1626
ENSG00000004399.13,2916,6197,6688,3065,3885,9963,2939,6411,3559,1834,3680,4289,2345,3839,7465,1902
ENSG00000004455.17,3052,3643,4492,3602,3391,9887,8157,4889,3858,2609,5859,5013,7152,4475,5688,3234
ENSG00000004468.13,210,78,553,432,427,297,409,673,60,190,224,263,404,235,644,155
ENSG00000004478.8,8698,1470,1519,2574,2190,2162,6286,1961,2258,1895,2072,3790,5223,2376,2666,1919
ENSG00000004487.17,2414,2989,3748,3531,3131,2792,4731,4080,5156,4004,5057,6463,5792,6170,4233,2744
ENSG00000004534.15,3626,4558,3532,4815,4994,3855,6318,6983,5080,3068,7494,4930,6303,4282,5461,4443
ENSG00000004660.15,254,323,308,520,606,284,598,781,249,227,340,380,321,418,747,698
ENSG00000004700.16,1919,1238,2324,1786,2302,2098,2384,1947,3655,2167,2734,1929,3066,3807,2791,857
ENSG00000004766.17,1397,1001,1932,1757,2630,1908,3578,2281,2305,1931,2869,1171,2544,2294,3142,1710
ENSG00000004776.13,32,79,61,67,19,112,84,57,7,11,22,24,7,24,358,46
ENSG00000004777.18,84,284,98,89,81,221,187,241,99,83,120,163,53,48,232,97
ENSG00000004779.10,1122,620,1401,1200,1144,543,2956,827,934,909,1379,883,1092,1265,1406,728
ENSG00000004799.8,1162,3614,2010,13290,16355,1611,3347,10429,590,3436,4256,967,2311,2564,9880,7361
ENSG00000004809.14,14,12,23,30,11,16,22,15,9,11,4,16,18,5,16,11
ENSG00000004838.14,26,47,43,38,108,86,38,41,42,16,37,11,279,17,54,50
ENSG00000004846.16,29,7,25,36,21,26,13,35,35,20,47,46,3,61,30,17
